exam_duration_minutes,time_taken_to_start,tab_switch_count,fullscreen_exit_count,copy_paste_attempts,device_switch_count,ip_address_change,mouse_movement_speed,inactivity_time,question_skip_count,revisits_count,login_attempts,network_instability,webcam_disabled_flag,background_noise_flag,exam_time_remaining,typing_speed,answer_change_count,suspicious_activity_score,cheating_risk
60,3,3,1,1,0,0,595,138,4,19,4,0,0,0,25,41,1,9,1
86,4,5,0,0,0,0,554,102,6,8,4,2,0,0,18,41,11,9,1
58,8,3,1,0,1,0,703,125,5,16,1,1,0,0,27,37,11,6,1
40,0,5,1,3,0,0,390,82,1,0,2,0,0,0,25,36,7,11,0
36,9,5,2,1,1,0,686,224,8,23,4,0,1,1,14,41,14,13,1
31,2,5,4,1,0,0,298,128,1,7,1,0,0,1,20,34,6,11,1
69,3,5,0,1,0,0,417,88,2,14,1,0,0,0,23,40,16,7,0
77,6,6,1,0,0,0,599,93,11,17,4,1,0,0,0,32,15,11,1
32,0,4,2,0,0,0,494,81,0,7,1,1,0,0,19,38,2,7,1
52,1,0,1,0,0,0,406,69,6,4,1,0,0,1,0,38,2,2,0
78,2,5,3,0,0,0,489,145,0,13,2,0,0,0,12,33,11,10,1
63,1,5,1,1,0,0,586,98,3,21,2,1,0,0,13,45,12,9,1
62,3,4,2,0,0,1,502,97,4,22,1,0,0,0,5,45,4,7,1
31,2,3,3,0,0,0,503,85,9,8,1,0,0,0,1,41,0,7,1
58,0,3,5,2,0,0,597,117,2,11,1,2,1,1,35,43,12,11,1
89,2,5,0,1,0,0,581,95,9,24,2,2,0,0,0,42,16,8,0
36,3,0,2,1,0,0,373,72,0,6,1,0,0,0,3,44,4,4,0
76,5,7,3,0,1,0,485,51,0,6,1,0,0,0,12,40,9,12,1
30,2,4,3,0,0,0,518,4,0,10,1,2,0,0,20,36,0,8,0
33,1,4,4,0,0,0,613,78,0,4,2,1,1,0,14,45,4,10,1
30,1,3,2,1,1,0,477,47,0,0,3,0,0,0,0,37,1,10,0
67,7,4,3,1,0,0,690,86,3,23,2,1,0,0,0,36,13,10,0
33,3,5,2,0,0,0,508,61,0,11,3,2,1,0,18,34,3,10,1
71,7,5,1,0,0,0,564,68,2,9,1,2,0,0,17,38,9,7,1
74,2,7,0,1,0,0,578,130,5,17,2,1,0,1,27,27,15,10,1
56,4,3,3,1,0,0,624,76,2,14,1,0,0,0,7,41,17,8,0
30,2,5,2,0,0,0,416,25,0,0,1,1,0,0,20,35,0,8,0
54,1,4,1,0,0,1,453,91,4,10,4,3,0,0,8,49,3,9,1
56,3,9,2,2,1,0,453,183,3,10,1,0,1,0,8,56,5,15,1
56,6,4,0,0,0,0,707,61,2,23,3,1,0,0,0,39,13,7,0
30,1,4,1,1,1,0,460,58,0,0,2,2,0,0,11,42,0,9,1
37,0,1,1,0,0,0,457,62,4,16,1,0,0,0,26,49,5,3,0
30,3,3,1,0,0,0,626,8,0,6,1,0,1,0,20,45,5,5,1
63,6,7,2,1,0,0,396,76,0,8,1,3,0,0,16,32,1,11,1
96,3,7,1,0,0,0,686,92,10,31,2,0,0,0,5,29,16,10,1
37,4,3,2,0,0,0,459,30,2,17,1,1,0,0,2,45,4,6,0
63,5,6,3,0,0,0,549,83,5,0,3,1,0,0,33,38,11,12,1
83,3,6,3,0,0,0,549,32,10,10,2,0,0,0,6,36,19,11,1
38,5,3,1,0,0,0,643,92,1,11,4,1,0,0,23,48,0,8,0
50,2,5,0,0,0,0,641,75,0,0,2,0,0,0,0,48,9,7,0
49,2,6,5,3,0,0,300,198,3,10,1,1,0,1,30,45,10,15,1
68,4,3,2,0,0,0,471,76,2,18,1,0,0,0,1,49,0,6,0
45,3,3,1,1,0,0,347,99,3,6,1,0,0,0,12,35,10,6,0
80,4,5,2,0,0,0,635,87,1,4,1,1,0,0,27,43,15,8,0
97,9,9,1,2,1,0,523,132,13,25,1,0,1,0,30,22,17,14,1
40,0,6,2,1,1,1,204,39,1,2,2,0,0,0,8,40,0,12,1
85,4,4,1,0,0,0,470,65,7,18,2,0,0,0,5,48,3,7,0
77,3,6,1,0,0,0,559,93,7,15,2,0,0,0,12,37,11,9,0
63,7,3,4,2,0,0,696,153,6,0,3,2,1,1,22,48,4,12,1
106,5,8,0,0,2,0,549,129,16,27,1,1,0,0,11,41,20,11,1
83,5,8,0,4,2,1,413,146,9,22,1,1,0,0,33,29,8,15,1
30,2,3,1,1,0,0,489,34,1,5,1,1,0,1,20,40,0,6,0
56,0,5,0,2,0,0,527,80,1,11,2,1,0,0,28,44,0,9,0
78,1,3,1,0,0,0,470,87,5,16,1,0,0,0,7,48,18,5,0
70,6,7,1,1,0,0,590,125,0,13,3,1,0,0,10,47,0,12,1
95,2,7,4,0,0,0,461,70,6,23,2,1,0,0,22,44,9,13,1
54,0,5,0,0,0,0,406,55,4,4,1,0,0,0,8,52,20,6,0
78,8,7,2,1,0,0,615,147,7,17,1,3,0,0,17,32,15,11,1
120,10,3,0,0,1,0,817,170,9,34,5,0,0,0,23,39,25,9,0
38,3,2,0,2,0,0,664,85,0,0,2,1,0,0,21,42,2,6,0
65,2,4,2,0,0,0,618,66,5,21,1,1,0,0,43,44,12,7,1
74,2,6,2,1,0,0,595,70,1,11,1,0,0,0,25,30,8,10,0
62,8,4,2,1,0,0,683,153,2,16,1,0,0,0,26,42,19,8,0
41,1,5,1,1,0,0,438,114,0,0,2,1,0,0,20,53,3,9,1
46,0,4,0,0,0,1,536,71,0,14,1,0,0,0,9,37,0,5,0
39,1,7,1,0,0,0,501,100,3,18,1,1,0,0,0,44,6,9,1
91,8,11,2,2,1,0,442,220,8,25,3,0,0,0,34,33,31,19,1
69,6,6,1,1,0,0,548,125,6,31,1,0,0,0,23,38,23,9,0
30,3,3,1,0,0,0,480,22,0,0,2,3,0,1,20,49,5,6,0
57,3,3,3,0,0,0,508,96,0,15,1,1,1,0,24,41,10,7,1
86,0,5,0,0,0,0,473,69,9,8,3,1,0,0,12,40,12,8,1
30,2,5,1,0,0,0,560,71,0,0,1,0,0,0,13,50,0,7,0
61,4,2,2,2,1,0,654,120,0,6,3,1,0,0,24,43,2,10,1
74,5,2,0,0,0,0,558,108,4,15,1,1,0,0,24,39,2,3,0
98,0,5,1,0,0,0,513,84,12,23,1,0,0,0,16,36,7,7,0
64,4,5,1,1,0,0,429,146,8,7,1,0,0,0,15,43,9,8,0
41,6,2,0,0,0,0,641,48,3,13,1,1,0,0,5,39,5,3,0
65,4,4,1,2,0,0,538,118,4,8,1,1,0,0,15,48,2,8,0
54,0,4,1,0,0,0,578,58,0,16,1,0,0,0,15,41,0,6,0
114,8,5,2,0,0,1,570,99,6,36,1,2,0,0,21,40,13,8,1
40,3,7,3,0,0,0,545,139,5,2,1,4,0,0,22,50,6,11,1
61,4,3,2,1,0,1,493,156,5,6,4,1,1,0,25,37,9,10,1
49,3,1,0,0,0,0,656,86,7,23,1,2,1,0,0,57,8,2,0
66,8,2,0,0,0,0,682,89,9,20,3,0,0,0,9,35,14,5,0
61,5,5,3,0,0,0,503,128,2,10,2,0,0,1,26,42,10,10,1
47,3,2,1,0,0,0,558,104,0,7,1,0,0,0,26,48,0,4,0
38,8,1,1,0,0,0,694,90,7,16,2,2,0,0,7,42,11,4,0
35,9,4,3,0,0,0,616,109,7,0,1,3,0,1,25,38,4,8,0
82,5,6,1,1,0,0,551,100,5,23,1,1,0,0,22,36,22,9,1
83,6,3,2,1,0,0,595,105,9,9,1,0,0,0,30,39,24,7,0
80,3,0,3,1,0,0,516,83,1,13,1,1,0,0,33,43,13,5,0
92,6,2,2,0,0,0,557,76,7,25,1,0,1,1,16,33,21,5,1
36,1,4,2,1,0,0,453,97,0,19,1,2,0,1,14,30,8,8,0
81,8,6,0,0,0,0,699,173,12,22,1,1,0,0,17,38,12,7,0
78,0,4,1,0,0,0,358,43,0,13,2,0,0,1,0,41,17,7,0
84,4,4,0,1,0,0,636,95,8,32,1,1,0,0,7,32,14,6,0
30,4,0,0,0,1,0,512,54,1,6,1,0,0,0,11,45,0,2,0
77,3,5,1,1,0,1,485,65,4,17,2,1,0,0,1,53,11,9,0
30,2,3,0,1,0,0,649,80,0,5,2,2,0,0,19,46,0,6,0
30,2,2,1,1,0,0,460,62,2,0,1,0,1,0,9,44,0,5,0
54,4,1,0,0,1,0,410,46,0,17,1,0,0,1,21,33,9,3,1
43,2,3,2,0,0,0,438,75,2,10,1,0,0,1,22,42,10,6,0
77,1,7,0,2,1,0,426,41,2,28,4,2,0,0,30,43,5,14,1
121,4,10,2,1,0,0,614,68,14,30,1,0,0,0,16,40,14,14,1
53,3,1,0,1,0,0,431,76,0,7,1,0,0,0,30,35,9,3,0
56,1,4,0,0,0,0,552,92,1,11,1,0,0,0,14,41,0,5,0
75,6,6,1,1,0,0,396,117,6,9,1,3,0,0,20,48,17,9,1
70,7,9,5,3,1,0,613,161,11,25,5,1,1,0,17,28,20,23,1
65,4,6,4,0,0,0,538,53,5,14,1,1,0,1,24,39,3,11,1
67,0,3,1,0,0,0,718,69,2,1,1,2,0,0,17,42,4,5,0
72,6,4,3,2,0,0,562,151,6,19,1,0,1,0,12,38,2,10,1
64,1,8,2,0,1,0,438,31,5,13,1,0,0,0,25,39,7,12,1
41,0,3,3,0,0,0,561,39,4,18,1,1,0,1,7,49,17,7,0
67,0,4,0,2,0,0,432,212,0,0,2,0,0,0,31,42,0,8,1
53,5,3,0,0,1,0,607,88,5,28,2,0,0,0,27,46,16,6,0
40,2,5,2,0,0,0,496,82,0,7,3,1,0,0,16,53,10,10,1
92,3,6,2,0,1,0,539,125,6,14,2,0,0,0,15,42,12,11,1
30,1,3,1,1,0,0,380,24,4,7,2,2,1,0,11,43,0,7,0
90,5,5,0,1,0,0,635,67,8,39,1,0,0,0,18,43,14,7,0
69,0,6,0,0,0,0,452,111,6,14,2,1,0,0,17,41,9,8,1
64,2,4,1,2,0,0,484,1,3,3,2,0,0,0,11,36,18,9,0
46,2,0,3,0,0,0,580,54,10,3,3,0,0,0,4,37,1,6,0
64,3,4,1,0,0,0,399,22,2,17,4,0,0,0,11,49,6,9,0
30,6,3,1,0,1,0,614,58,0,0,1,0,0,0,18,36,0,6,1
30,0,4,0,0,0,0,673,111,0,0,1,2,1,0,8,41,0,5,1
79,4,5,4,2,0,0,608,61,7,16,1,0,0,1,0,44,9,12,1
31,5,0,0,1,0,0,689,96,0,0,3,0,0,1,14,29,0,4,0
81,4,4,0,0,0,0,677,110,8,18,1,0,0,0,16,33,11,5,0
30,3,6,1,0,0,0,518,50,0,2,2,0,0,0,20,51,0,9,0
94,3,4,1,0,0,0,376,74,5,23,1,2,0,1,37,37,18,6,1
30,1,4,2,2,1,1,535,120,0,8,1,2,0,0,1,39,5,10,1
76,6,6,1,2,1,0,547,142,3,21,1,0,0,0,15,54,6,11,1
55,3,6,1,0,0,0,609,72,3,3,1,0,0,0,25,34,20,8,0
30,1,2,3,1,0,0,673,62,0,0,1,1,0,0,20,40,0,7,1
105,5,5,3,1,0,0,473,122,11,25,1,1,0,0,30,37,21,10,1
89,3,9,1,0,0,0,465,66,13,38,2,0,0,0,15,46,21,12,0
75,0,4,3,0,0,0,628,50,4,18,1,0,0,0,10,45,5,8,0
79,1,4,2,1,0,0,467,73,9,0,1,0,1,0,4,40,1,8,1
48,1,4,2,1,0,0,613,71,3,21,2,1,0,0,29,39,3,9,1
39,1,4,0,0,0,0,527,85,1,0,2,1,0,0,3,42,0,6,0
98,4,8,2,0,2,0,407,84,2,21,1,0,0,0,1,49,15,13,1
34,8,6,1,0,0,0,588,116,6,10,2,0,1,0,15,35,14,9,1
37,5,5,1,0,1,0,528,130,2,16,3,1,0,0,9,50,6,10,1
42,2,8,0,1,1,1,431,137,0,1,2,1,0,0,19,45,4,12,1
35,5,3,0,1,0,0,601,117,4,10,1,0,0,0,7,44,0,5,0
30,0,1,2,0,0,0,587,97,0,3,1,1,1,0,20,52,6,4,0
83,5,6,3,1,0,1,597,132,6,26,3,1,1,0,5,39,14,13,1
51,5,1,1,1,0,0,657,67,5,11,1,1,0,0,18,33,5,4,0
78,7,5,1,0,0,0,633,99,7,23,1,2,0,0,9,32,15,7,0
62,4,4,1,0,0,0,653,92,6,15,1,1,0,0,5,52,3,6,0
54,3,3,0,2,1,0,510,43,0,0,1,3,0,0,18,30,6,7,0
54,0,4,4,0,0,0,473,88,5,15,1,1,0,1,28,50,8,9,0
52,2,3,2,1,0,1,451,90,1,10,2,1,0,1,12,29,2,8,1
47,3,5,1,1,0,0,549,83,3,14,2,0,0,0,11,47,5,9,1
71,2,3,2,0,0,0,642,54,5,14,2,0,0,0,9,31,17,7,0
67,2,6,3,1,0,1,598,54,1,21,2,0,1,0,18,42,3,12,1
46,4,2,4,1,0,0,491,121,0,2,1,1,0,0,34,37,0,8,0
41,0,3,0,1,0,0,382,43,0,2,1,1,1,0,19,56,0,5,1
94,5,10,4,0,0,0,633,110,14,31,1,2,0,0,20,43,16,15,1
50,6,0,2,0,0,0,625,85,0,0,1,1,0,1,33,40,0,3,0
30,0,3,3,1,1,0,464,138,0,3,1,2,0,0,13,39,0,9,1
69,2,3,1,1,1,0,432,122,0,7,1,1,0,0,33,34,5,7,0
93,1,5,1,1,0,0,432,73,11,18,1,0,0,0,21,41,27,8,0
30,4,0,0,0,0,0,645,55,0,0,1,1,0,0,15,46,0,1,0
37,4,2,2,0,0,0,582,90,0,10,3,1,0,0,18,41,2,7,0
55,1,0,2,1,0,0,476,44,0,11,2,0,0,1,27,33,0,5,1
30,0,3,2,0,0,0,463,79,0,0,2,0,0,0,10,42,0,7,0
80,3,6,1,0,0,0,531,11,5,14,1,1,0,0,11,37,22,8,0
58,1,3,1,0,1,0,490,86,3,20,3,0,1,0,10,43,14,8,1
